,Feature,importance
1613,E1i,0.0003956025132072759
184,MATS2c,0.0003947080011732183
1244,TDB2p,0.00039461774972187914
1034,MLFER_BO,0.00039409679794764137
954,FMF,0.0003935769998340852
1600,E1p,0.00039157901148731433
818,maxsCH3,0.00039114435891344585
1270,TDB8s,0.00038957767003555953
26,AATS6m,0.0003889667923767392
55,AATS3i,0.0003878744422324162
203,MATS3i,0.00038730226524670986
1347,RDF80u,0.00038476168856101285
927,ETA_Shape_P,0.0003840794549058959
1261,TDB9i,0.0003837163969057683
1381,RDF100m,0.00038172161605430426
806,maxHCsats,0.00037939157694990774
100,ATSC4e,0.000378152635507715
117,ATSC4i,0.0003775053527226461
238,GATS2e,0.0003757418998642646
1462,RDF55p,0.00037320314182133144
1596,L2p,0.0003713019683086927
370,SP-6,0.0003705268178391283
1249,TDB7p,0.0003704489915263332
931,ETA_BetaP,0.0003676621127354955
48,AATS5p,0.00036477868821884835
377,ASP-5,0.00036002169963666916
375,ASP-3,0.00035979445038388387
229,GATS1v,0.0003589747390614139
828,maxaasC,0.00035890795160684595
1303,WNSA-3,0.0003580530133161055
191,MATS2m,0.0003577185134306074
590,SaasC,0.0003569622080319887
50,AATS7p,0.00035657606135853766
112,ATSC8p,0.000356297925818173
388,AVP-0,0.00035618832191917845
248,GATS4p,0.0003550346046527436
137,AATSC8c,0.0003545285771812413
121,ATSC8i,0.00035360478514262744
704,minaaCH,0.0003534234215661597
1015,MDEC-13,0.0003528841526926454
1014,MDEC-12,0.000350236006365783
247,GATS3p,0.000349668744516764
378,ASP-6,0.0003494777687335207
268,GATS8s,0.0003494289424767586
174,AATSC6i,0.0003488858035666912
1142,GGI6,0.00034805373163108874
69,AATS8s,0.00034687315090428737
1242,TDB10e,0.00034670198966709755
270,VE1_DzZ,0.0003449016303544828
1296,FNSA-2,0.00034388075235172364
965,IC2,0.0003426609447725959
665,minHBint3,0.00034167355962060866
1345,RDF70u,0.000341064865627853
1550,E3u,0.0003396052994027288
1140,GGI4,0.0003364019781247764
1259,TDB7i,0.0003361091142430777
287,VE1_Dzs,0.0003359666845489541
143,AATSC6m,0.00033579714995335007
267,GATS7s,0.00033567668472353344
430,nHBint6,0.00033504124464394535
1371,RDF50m,0.0003341675895675917
162,AATSC2p,0.0003336215248766341
395,AVP-7,0.0003321312933766705
1587,E1e,0.00033121764775189474
387,VP-7,0.0003307048401570288
152,AATSC6v,0.0003300984158465729
